bin,k,q_squared,t,x_b,W,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,sig_BSA,link
,10.6,1.23589,-0.581078,0.160564,,5.82877,,,,,,-0.0884502,0.0664479,
,10.6,1.21776,-0.580397,0.146884,,6.00655,,,,,,-0.0709303,0.0267092,
,10.6,1.22674,-0.506383,0.163489,,6.17454,,,,,,-0.00569041,0.0362944,
,10.6,1.24216,-0.614597,0.23729,,0.236809,,,,,,0.0690111,0.0807899,
,10.6,1.19352,-0.626021,0.227067,,0.913996,,,,,,-0.0101473,0.173151,
,10.6,1.22956,-0.657794,0.239253,,4.74036,,,,,,-0.138076,0.20933,
,10.6,1.22461,-0.629447,0.237553,,5.3604,,,,,,-0.294677,0.158553,
,10.6,1.22502,-0.669069,0.233944,,5.77274,,,,,,-0.122697,0.109817,
,10.6,1.16138,-1.0086,0.0915199,,0.0983527,,,,,,0.0744695,0.0220526,
,10.6,1.17489,-0.93586,0.0946136,,0.275895,,,,,,-0.0100643,0.0274823,
,10.6,1.2006,-0.947211,0.088328,,0.446156,,,,,,0.117237,0.0586395,
,10.6,1.18971,-1.01744,0.104255,,0.854116,,,,,,-0.0662802,0.140575,
,10.6,1.16412,-1.1011,0.0969952,,1.42775,,,,,,0.320182,0.0845165,
,10.6,1.1571,-1.37973,0.100688,,2.05441,,,,,,0.151726,0.163511,
,10.6,1.16513,-1.05021,0.09682,,2.71569,,,,,,0.118918,0.132329,
,10.6,1.15437,-1.04696,0.0998131,,3.24022,,,,,,-0.0195084,0.120093,
,10.6,1.15153,-1.26326,0.101001,,4.00825,,,,,,-0.408619,0.236788,
,10.6,1.14439,-1.06927,0.0982814,,4.60505,,,,,,0.128651,0.120111,
,10.6,1.17096,-0.989553,0.106922,,5.05513,,,,,,0.151543,0.0994825,
,10.6,1.19637,-1.02756,0.0906071,,5.73377,,,,,,-0.206049,0.125064,
,10.6,1.1889,-0.905977,0.0953786,,5.95232,,,,,,-0.0174061,0.0307074,
,10.6,1.15655,-1.00144,0.0930728,,6.14777,,,,,,-0.0321333,0.0194224,
,10.6,1.2477,-1.0633,0.15307,,0.164439,,,,,,-0.0499286,0.0519026,
,10.6,1.25032,-1.04026,0.151802,,0.312919,,,,,,0.101795,0.0705833,
,10.6,1.21036,-1.04893,0.171353,,0.73457,,,,,,-0.125322,0.105938,
,10.6,1.18129,-1.11257,0.162531,,1.12461,,,,,,-0.111066,0.131021,
,10.6,1.18985,-1.13458,0.162837,,2.85213,,,,,,0.0150266,0.127203,
,10.6,1.22548,-1.21649,0.158404,,3.48852,,,,,,-0.204731,0.188634,
,10.6,1.18359,-1.08644,0.16724,,4.11537,,,,,,0.296705,0.175919,
,10.6,1.18044,-1.11202,0.158923,,4.75806,,,,,,-0.068472,0.192555,
,10.6,1.22565,-1.08396,0.156269,,5.3646,,,,,,-0.0816408,0.166549,
,10.6,1.24909,-1.06795,0.152429,,5.94068,,,,,,-0.030561,0.0673885,
,10.6,1.23629,-1.04361,0.150607,,6.11322,,,,,,0.0350375,0.0464439,
,10.6,1.55971,-0.146889,0.119462,,0.0971024,,,,,,0.0192776,0.0258981,
,10.6,1.56827,-0.149001,0.11794,,0.283699,,,,,,0.0742729,0.0231447,
,10.6,1.57653,-0.151686,0.11477,,0.471181,,,,,,0.0847095,0.0214654,
,10.6,1.5832,-0.153927,0.110147,,0.657506,,,,,,0.110276,0.0258141,
,10.6,1.5741,-0.156443,0.104702,,0.840849,,,,,,0.193822,0.0272789,
,10.6,1.55108,-0.155785,0.101216,,1.02343,,,,,,0.208435,0.0397022,
,10.6,1.54144,-0.15109,0.100597,,1.20668,,,,,,0.020469,0.11428,
,10.6,1.51495,-0.152894,0.115951,,1.59619,,,,,,0.374287,0.0610126,
,10.6,1.55367,-0.164445,0.117481,,2.02685,,,,,,0.0208766,0.0888863,
,10.6,1.55723,-0.166858,0.115671,,2.26979,,,,,,0.256696,0.0641645,
,10.6,1.56462,-0.168444,0.114982,,2.51915,,,,,,0.255783,0.0670548,
,10.6,1.55664,-0.165339,0.114019,,2.72714,,,,,,-0.0495801,0.0898187,
,10.6,1.53337,-0.167603,0.113913,,2.94968,,,,,,0.159925,0.0769243,
,10.6,1.55329,-0.167102,0.114349,,3.2015,,,,,,0.0147037,0.0940127,
,10.6,1.55058,-0.166278,0.114898,,3.50926,,,,,,0.0969284,0.0770513,
,10.6,1.54779,-0.165738,0.11812,,3.90177,,,,,,-0.521007,0.163603,
,10.6,1.54481,-0.151087,0.0991286,,5.08013,,,,,,-0.302465,0.153381,
,10.6,1.56007,-0.153954,0.101551,,5.25796,,,,,,-0.165468,0.0499925,
,10.6,1.57386,-0.15526,0.104883,,5.44072,,,,,,-0.194213,0.0319679,
,10.6,1.58258,-0.155015,0.110167,,5.62159,,,,,,-0.17687,0.0257489,
,10.6,1.57685,-0.155419,0.114772,,5.80982,,,,,,-0.0843754,0.0247865,
,10.6,1.56132,-0.152581,0.117903,,5.99524,,,,,,-0.120179,0.0271862,
,10.6,1.55738,-0.144884,0.119291,,6.18454,,,,,,-0.0384128,0.0259585,
,10.6,1.63274,-0.174366,0.157266,,0.0954951,,,,,,0.0471181,0.0406104,
,10.6,1.6201,-0.170379,0.163178,,0.276794,,,,,,0.0552729,0.0501996,
,10.6,1.61072,-0.168073,0.173583,,0.469932,,,,,,0.168115,0.0513254,
,10.6,1.59909,-0.163998,0.178931,,0.657087,,,,,,0.292582,0.0509047,
,10.6,1.58336,-0.160991,0.173506,,0.845306,,,,,,0.267475,0.0672752,
,10.6,1.59834,-0.156846,0.167641,,1.03583,,,,,,0.159411,0.0798073,
,10.6,1.59633,-0.159026,0.165954,,1.21893,,,,,,0.36865,0.0586386,
,10.6,1.59643,-0.167376,0.164307,,1.41039,,,,,,0.353226,0.0576213,
,10.6,1.59559,-0.170859,0.164071,,1.62987,,,,,,0.447105,0.0506948,
,10.6,1.59698,-0.170612,0.160328,,1.87415,,,,,,0.444565,0.056831,
,10.6,1.61358,-0.175888,0.158144,,2.09723,,,,,,0.117028,0.102014,
,10.6,1.59617,-0.175412,0.153608,,2.29591,,,,,,0.0778702,0.0854056,
,10.6,1.60367,-0.177274,0.151876,,2.47725,,,,,,-0.144068,0.110288,
,10.6,1.60254,-0.179042,0.151663,,2.67615,,,,,,0.0896505,0.100031,
,10.6,1.59805,-0.180247,0.148978,,2.88948,,,,,,-0.144689,0.106023,
,10.6,1.60966,-0.176137,0.150014,,3.17365,,,,,,-0.00925932,0.101214,
,10.6,1.60322,-0.179802,0.150748,,3.48098,,,,,,-0.00935696,0.0982582,
,10.6,1.60276,-0.180942,0.154199,,3.80185,,,,,,0.0414421,0.0988535,
,10.6,1.58564,-0.18185,0.169035,,4.29507,,,,,,-0.166921,0.0932685,
,10.6,1.60008,-0.170263,0.174855,,4.88323,,,,,,-0.477234,0.131936,
,10.6,1.60913,-0.148336,0.182276,,5.54666,,,,,,-0.176149,0.0952751,
,10.6,1.63872,-0.163023,0.16765,,5.81874,,,,,,-0.224156,0.0874888,
,10.6,1.6423,-0.166942,0.159687,,6.0035,,,,,,-0.0713077,0.0568213,
,10.6,1.62937,-0.174111,0.155567,,6.19377,,,,,,-0.036556,0.0429403,
,10.6,1.61394,-0.198368,0.257403,,0.100731,,,,,,0.0294403,0.0686881,
,10.6,1.60239,-0.198664,0.251207,,0.280758,,,,,,0.210652,0.0594872,
,10.6,1.59686,-0.18762,0.251754,,0.467545,,,,,,0.24699,0.0663132,
,10.6,1.60658,-0.198159,0.257214,,0.655986,,,,,,0.249776,0.0769121,
,10.6,1.60843,-0.203456,0.254436,,0.869666,,,,,,0.308395,0.0849806,
,10.6,1.59887,-0.2029,0.260095,,1.18969,,,,,,0.255218,0.0887917,
,10.6,1.60827,-0.202879,0.241402,,1.61337,,,,,,0.30215,0.0876917,
,10.6,1.62498,-0.205709,0.251732,,4.77247,,,,,,-0.290641,0.193335,
,10.6,1.60223,-0.192987,0.267385,,5.38085,,,,,,-0.224031,0.131323,
,10.6,1.59185,-0.191418,0.256447,,5.68819,,,,,,-0.145822,0.105071,
,10.6,1.61232,-0.190041,0.256517,,5.88098,,,,,,-0.281233,0.102683,
,10.6,1.61996,-0.204015,0.252511,,6.13282,,,,,,-0.0275351,0.0553009,
,10.6,1.48328,-0.241116,0.125891,,0.103867,,,,,,-0.00345378,0.0674262,
,10.6,1.51174,-0.259521,0.124172,,0.295121,,,,,,0.0941391,0.0440952,
,10.6,1.54869,-0.288331,0.120064,,0.481672,,,,,,0.156746,0.0258791,
,10.6,1.57597,-0.300369,0.112074,,0.66207,,,,,,0.179279,0.0201438,
,10.6,1.56833,-0.292301,0.10452,,0.832765,,,,,,0.222575,0.0238946,
,10.6,1.55214,-0.281665,0.100876,,1.01795,,,,,,0.360567,0.0578003,
,10.6,1.57103,-0.294277,0.115145,,2.02298,,,,,,0.172105,0.0725925,
,10.6,1.55165,-0.293211,0.1123,,2.29087,,,,,,0.0510688,0.105795,
,10.6,1.54205,-0.289436,0.111974,,2.48631,,,,,,0.126266,0.0855284,
,10.6,1.54085,-0.301992,0.111868,,2.6714,,,,,,0.052857,0.0858044,
,10.6,1.55638,-0.299706,0.115283,,2.86227,,,,,,0.00338646,0.0845997,
,10.6,1.53732,-0.29859,0.113641,,3.04878,,,,,,-0.22227,0.109174,
,10.6,1.55494,-0.299758,0.114334,,3.22213,,,,,,0.00418913,0.0962704,
,10.6,1.55532,-0.28726,0.114816,,3.51502,,,,,,-0.060967,0.111244,
,10.6,1.56081,-0.305551,0.11403,,4.02671,,,,,,0.0768908,0.0951209,
,10.6,1.55469,-0.3198,0.114531,,4.49933,,,,,,-0.180213,0.0948946,
,10.6,1.52136,-0.315608,0.117396,,4.83749,,,,,,-0.285237,0.0892303,
