bin,k',k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,2.34,5.7572,2.375,-0.372,0.373,,97.5,0.0203,0.0019,0.0019,0,0.0011,0.009,0.0024,0.0024,0.0001,0.0018,
,2.34,5.7572,2.375,-0.372,0.373,,112.5,0.0166,0.0016,0.0016,0,0.0018,-0.0011,0.002,0.002,0.0016,0,
,2.34,5.7572,2.375,-0.372,0.373,,127.5,0.0165,0.0015,0.0015,0,0.0026,0.0016,0.0018,0.0018,0.0001,0.0004,
,2.34,5.7572,2.375,-0.372,0.373,,142.5,0.0149,0.0014,0.0014,0,0.0013,0.0032,0.0018,0.0018,0.0009,0,
,2.34,5.7572,2.375,-0.372,0.373,,157.5,0.014,0.0015,0.0015,0.0009,0,0.0036,0.0019,0.0019,0.0007,0,
,2.34,5.7572,2.375,-0.372,0.373,,172.5,0.0137,0.0017,0.0017,0,0.0007,0.0021,0.002,0.002,0.0011,0.0002,
,2.34,5.7572,2.375,-0.372,0.373,,187.5,0.0151,0.0017,0.0017,0.0011,0.0002,0.0044,0.002,0.002,0,0.001,
,2.34,5.7572,2.375,-0.372,0.373,,202.5,0.0167,0.0016,0.0016,0.0005,0.0003,-0.0001,0.002,0.002,0,0.0025,
,2.34,5.7572,2.375,-0.372,0.373,,217.5,0.0142,0.0014,0.0014,0.0003,0.0005,-0.0035,0.0018,0.0018,0.0008,0.0001,
,2.34,5.7572,2.375,-0.372,0.373,,232.5,0.019,0.0015,0.0015,0,0.0007,-0.004,0.0019,0.0019,0.0002,0.0007,
,2.34,5.7572,2.375,-0.372,0.373,,247.5,0.0185,0.0017,0.0017,0.0001,0.0024,-0.0018,0.0021,0.0021,0.0006,0.001,
,2.34,5.7572,2.375,-0.372,0.373,,262.5,0.0196,0.0018,0.0018,0,0.0013,-0.0034,0.0023,0.0023,0,0.0011,
,2.34,5.7572,2.375,-0.372,0.373,,277.5,0.0242,0.002,0.002,0,0.0009,-0.0058,0.0026,0.0026,0.0007,0.0003,
