bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,1/2 Helc_sum_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,5.55,1.98,0.182,0.357,,22.5,,,,,,0.000566,0.0065,0.0065,,,
,5.55,1.98,0.182,0.357,,37.5,,,,,,0.0102,0.0062,0.0062,,,
,5.55,1.98,0.182,0.357,,52.5,,,,,,0.0156,0.006,0.006,,,
,5.55,1.98,0.182,0.357,,67.5,,,,,,0.0132,0.0058,0.0058,,,
,5.55,1.98,0.182,0.357,,82.5,,,,,,0.0113,0.0054,0.0054,,,
,5.55,1.98,0.182,0.357,,97.5,,,,,,0.0115,0.005,0.005,,,
,5.55,1.98,0.182,0.357,,112.5,,,,,,-0.00253,0.0047,0.0047,,,
,5.55,1.98,0.182,0.357,,127.5,,,,,,0.0115,0.0045,0.0045,,,
,5.55,1.98,0.182,0.357,,142.5,,,,,,0.000268,0.0042,0.0042,,,
,5.55,1.98,0.182,0.357,,157.5,,,,,,0.00602,0.0041,0.0041,,,
,5.55,1.98,0.182,0.357,,172.5,,,,,,0.00177,0.0041,0.0041,,,
,5.55,1.98,0.182,0.357,,187.5,,,,,,0.0042,0.0041,0.0041,,,
,5.55,1.98,0.182,0.357,,202.5,,,,,,-0.000843,0.0041,0.0041,,,
,5.55,1.98,0.182,0.357,,217.5,,,,,,-0.00476,0.0043,0.0043,,,
,5.55,1.98,0.182,0.357,,232.5,,,,,,-0.00246,0.0046,0.0046,,,
,5.55,1.98,0.182,0.357,,247.5,,,,,,-0.00472,0.0048,0.0048,,,
,5.55,1.98,0.182,0.357,,262.5,,,,,,-0.0125,0.0052,0.0052,,,
,5.55,1.98,0.182,0.357,,277.5,,,,,,-0.0121,0.0055,0.0055,,,
,5.55,1.98,0.182,0.357,,292.5,,,,,,-0.0153,0.0058,0.0058,,,
,5.55,1.98,0.182,0.357,,307.5,,,,,,-0.0119,0.0061,0.0061,,,
,5.55,1.98,0.182,0.357,,322.5,,,,,,-0.0123,0.0063,0.0063,,,
,5.55,1.98,0.182,0.357,,337.5,,,,,,-0.00283,0.0064,0.0064,,,
