bin,k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,,1.131,-0.603,0.125,,293.1,0.215698,0.0158616,0.0158616,0.0198476,0.0198476,-0.00708719,0.0124162,0.0124162,0.00519631,0.00519631,
,,1.131,-0.603,0.125,,308.2,0.282977,0.0203607,0.0203607,0.0193214,0.0193214,-0.0454152,0.0158077,0.0158077,0.0115392,0.0115392,
,,1.131,-0.602,0.126,,323.3,0.647805,0.032533,0.032533,0.0387197,0.0387197,0.0232742,0.0240516,0.0240516,0.00625265,0.00625265,
,,1.125,-0.615,0.125,,337.1,0.801775,0.052835,0.052835,0.0502224,0.0502224,-0.0477851,0.0394169,0.0394169,0.0092998,0.0092998,
,,1.13,-0.859,0.126,,7.3,0.329197,0.0188547,0.0188547,0.0208522,0.0208522,0.00498107,0.014049,0.014049,0.00221224,0.00221224,
,,1.13,-0.86,0.126,,21.9,0.255241,0.0145719,0.0145719,0.015907,0.015907,0.0106498,0.0108634,0.0108634,0.00853167,0.00853167,
,,1.13,-0.862,0.126,,36.8,0.154395,0.00837983,0.00837983,0.0104128,0.0104128,-0.00178971,0.00625979,0.00625979,0.00228946,0.00228946,
,,1.131,-0.863,0.125,,51.8,0.0900297,0.0060773,0.0060773,0.00786958,0.00786958,0.00356522,0.0047405,0.0047405,0.00176607,0.00176607,
,,1.131,-0.864,0.125,,66.9,0.067338,0.00630898,0.00630898,0.00555511,0.00555511,0.00122267,0.00509809,0.00509809,0.00105221,0.00105221,
,,1.131,-0.864,0.125,,82,0.048208,0.00604392,0.00604392,0.00386852,0.00386852,0.0161594,0.00520011,0.00520011,0.0018931,0.0018931,
