bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,5.55,1.98,0.242,0.356,,22.5,,,,,,0.0983,0.0052,0.0052,,,
,5.55,1.98,0.242,0.356,,37.5,,,,,,0.081,0.0046,0.0046,,,
,5.55,1.98,0.242,0.356,,52.5,,,,,,0.0713,0.0042,0.0042,,,
,5.55,1.98,0.242,0.356,,67.5,,,,,,0.063,0.004,0.004,,,
,5.55,1.98,0.242,0.356,,82.5,,,,,,0.0517,0.0036,0.0036,,,
,5.55,1.98,0.242,0.356,,97.5,,,,,,0.0479,0.0034,0.0034,,,
,5.55,1.98,0.242,0.356,,112.5,,,,,,0.0414,0.0032,0.0032,,,
,5.55,1.98,0.242,0.356,,127.5,,,,,,0.0381,0.0031,0.0031,,,
,5.55,1.98,0.242,0.356,,142.5,,,,,,0.0357,0.0029,0.0029,,,
,5.55,1.98,0.242,0.356,,157.5,,,,,,0.0336,0.003,0.003,,,
,5.55,1.98,0.242,0.356,,172.5,,,,,,0.0355,0.003,0.003,,,
,5.55,1.98,0.242,0.356,,187.5,,,,,,0.0311,0.0029,0.0029,,,
,5.55,1.98,0.242,0.356,,202.5,,,,,,0.0326,0.003,0.003,,,
,5.55,1.98,0.242,0.356,,217.5,,,,,,0.0398,0.0031,0.0031,,,
,5.55,1.98,0.242,0.356,,232.5,,,,,,0.0457,0.0033,0.0033,,,
,5.55,1.98,0.242,0.356,,247.5,,,,,,0.0407,0.0033,0.0033,,,
,5.55,1.98,0.242,0.356,,262.5,,,,,,0.0484,0.0037,0.0037,,,
,5.55,1.98,0.242,0.356,,277.5,,,,,,0.0567,0.0039,0.0039,,,
,5.55,1.98,0.242,0.356,,292.5,,,,,,0.0614,0.0042,0.0042,,,
,5.55,1.98,0.242,0.356,,307.5,,,,,,0.0715,0.0045,0.0045,,,
,5.55,1.98,0.242,0.356,,322.5,,,,,,0.0861,0.0049,0.0049,,,
,5.55,1.98,0.242,0.356,,337.5,,,,,,0.0973,0.0051,0.0051,,,
,5.55,1.98,0.242,0.356,,352.5,,,,,,0.0987,0.0053,0.0053,,,
,5.55,1.98,0.302,0.356,,7.5,,,,,,0.1075,0.0062,0.0062,,,
,5.55,1.98,0.302,0.356,,22.5,,,,,,0.0938,0.0057,0.0057,,,
,5.55,1.98,0.302,0.356,,37.5,,,,,,0.0737,0.0049,0.0049,,,
,5.55,1.98,0.302,0.356,,52.5,,,,,,0.0615,0.0043,0.0043,,,
,5.55,1.98,0.302,0.356,,67.5,,,,,,0.0433,0.0037,0.0037,,,
,5.55,1.98,0.302,0.356,,82.5,,,,,,0.0471,0.0036,0.0036,,,
,5.55,1.98,0.302,0.356,,97.5,,,,,,0.0409,0.0034,0.0034,,,
,5.55,1.98,0.302,0.356,,112.5,,,,,,0.0366,0.0032,0.0032,,,
,5.55,1.98,0.302,0.356,,127.5,,,,,,0.0264,0.0029,0.0029,,,
,5.55,1.98,0.302,0.356,,142.5,,,,,,0.0259,0.003,0.003,,,
,5.55,1.98,0.302,0.356,,157.5,,,,,,0.0229,0.003,0.003,,,
,5.55,1.98,0.302,0.356,,172.5,,,,,,0.032,0.0033,0.0033,,,
