set,index,k,q_squared,x_b,t,phi,F,sigma,sigma_stat_plus,F1,F2
6,19,5.75,2.218,0.345,-0.176,292.5,0.08010,0.00348,0.04345,0.67801,1.08216
6,20,5.75,2.218,0.345,-0.176,307.5,0.08740,0.00372,0.04256,0.67801,1.08216
6,21,5.75,2.218,0.345,-0.176,322.5,0.09740,0.00396,0.04066,0.67801,1.08216
6,22,5.75,2.218,0.345,-0.176,337.5,0.09920,0.00420,0.04234,0.67801,1.08216
6,23,5.75,2.218,0.345,-0.176,352.5,0.09860,0.00432,0.04381,0.67801,1.08216
7,0,5.75,2.318,0.363,-0.232,7.5,0.08030,0.00420,0.0523,0.61351,0.94474
7,1,5.75,2.318,0.363,-0.232,22.5,0.08060,0.00396,0.04913,0.61351,0.94474
7,2,5.75,2.318,0.363,-0.232,37.5,0.07050,0.00360,0.05106,0.61351,0.94474
7,3,5.75,2.318,0.363,-0.232,52.5,0.06040,0.00324,0.05364,0.61351,0.94474
7,4,5.75,2.318,0.363,-0.232,67.5,0.05130,0.00288,0.05614,0.61351,0.94474
7,5,5.75,2.318,0.363,-0.232,82.5,0.04630,0.00264,0.05702,0.61351,0.94474
7,6,5.75,2.318,0.363,-0.232,97.5,0.04260,0.00240,0.05634,0.61351,0.94474
7,7,5.75,2.318,0.363,-0.232,112.5,0.03530,0.00216,0.06119,0.61351,0.94474
7,8,5.75,2.318,0.363,-0.232,127.5,0.03480,0.00204,0.05862,0.61351,0.94474
7,9,5.75,2.318,0.363,-0.232,142.5,0.02840,0.00192,0.06761,0.61351,0.94474
7,10,5.75,2.318,0.363,-0.232,157.5,0.03090,0.00192,0.06214,0.61351,0.94474
7,11,5.75,2.318,0.363,-0.232,172.5,0.02570,0.00180,0.07004,0.61351,0.94474
7,12,5.75,2.318,0.363,-0.232,187.5,0.02770,0.00180,0.06498,0.61351,0.94474
7,13,5.75,2.318,0.363,-0.232,202.5,0.02970,0.00192,0.06465,0.61351,0.94474
7,14,5.75,2.318,0.363,-0.232,217.5,0.03140,0.00192,0.06115,0.61351,0.94474
7,15,5.75,2.318,0.363,-0.232,232.5,0.03440,0.00204,0.0593,0.61351,0.94474
7,16,5.75,2.318,0.363,-0.232,247.5,0.03580,0.00216,0.06034,0.61351,0.94474
7,17,5.75,2.318,0.363,-0.232,262.5,0.04240,0.00240,0.0566,0.61351,0.94474
7,18,5.75,2.318,0.363,-0.232,277.5,0.04390,0.00252,0.0574,0.61351,0.94474
7,19,5.75,2.318,0.363,-0.232,292.5,0.05460,0.00276,0.05055,0.61351,0.94474
7,20,5.75,2.318,0.363,-0.232,307.5,0.06330,0.00312,0.04929,0.61351,0.94474
7,21,5.75,2.318,0.363,-0.232,322.5,0.06680,0.00348,0.0521,0.61351,0.94474
7,22,5.75,2.318,0.363,-0.232,337.5,0.07520,0.00396,0.05266,0.61351,0.94474
7,23,5.75,2.318,0.363,-0.232,352.5,0.07730,0.00420,0.05433,0.61351,0.94474
8,0,5.75,2.348,0.368,-0.279,7.5,0.06660,0.00504,0.07568,0.56741,0.84881
8,1,5.75,2.348,0.368,-0.279,22.5,0.07190,0.00480,0.06676,0.56741,0.84881
8,2,5.75,2.348,0.368,-0.279,37.5,0.05800,0.00384,0.06621,0.56741,0.84881
8,3,5.75,2.348,0.368,-0.279,52.5,0.04820,0.00336,0.06971,0.56741,0.84881
8,4,5.75,2.348,0.368,-0.279,67.5,0.04220,0.00288,0.06825,0.56741,0.84881
8,5,5.75,2.348,0.368,-0.279,82.5,0.03940,0.00264,0.06701,0.56741,0.84881
8,6,5.75,2.348,0.368,-0.279,97.5,0.02950,0.00228,0.07729,0.56741,0.84881
8,7,5.75,2.348,0.368,-0.279,112.5,0.02870,0.00204,0.07108,0.56741,0.84881
8,8,5.75,2.348,0.368,-0.279,127.5,0.02380,0.00180,0.07563,0.56741,0.84881
