bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,,1.132,0.603,0.125,,187.5,,,,,,0.00247094,0.00886002,0.00886002,0.00665769,0.00665769,
,,1.132,0.603,0.125,,202.6,,,,,,0.00472038,0.00613866,0.00613866,0.00309626,0.00309626,
,,1.132,0.603,0.125,,217.7,,,,,,-0.00415004,0.0055308,0.0055308,0.00347244,0.00347244,
,,1.132,0.603,0.125,,232.8,,,,,,0.00103701,0.00591265,0.00591265,0.0040529,0.0040529,
,,1.131,0.603,0.125,,262.9,,,,,,0.00378366,0.00797246,0.00797246,0.0025787,0.0025787,
,,1.131,0.603,0.125,,278,,,,,,-0.0134792,0.0117167,0.0117167,0.00278463,0.00278463,
,,1.131,0.603,0.125,,293.1,,,,,,-0.00708719,0.0124162,0.0124162,0.00519631,0.00519631,
,,1.131,0.603,0.125,,308.2,,,,,,-0.0454152,0.0158077,0.0158077,0.0115392,0.0115392,
,,1.131,0.602,0.126,,323.3,,,,,,0.0232742,0.0240516,0.0240516,0.00625265,0.00625265,
,,1.125,0.615,0.125,,337.1,,,,,,-0.0477851,0.0394169,0.0394169,0.0092998,0.0092998,
,,1.13,0.859,0.126,,7.3,,,,,,0.00498107,0.014049,0.014049,0.00221224,0.00221224,
,,1.13,0.86,0.126,,21.9,,,,,,0.0106498,0.0108634,0.0108634,0.00853167,0.00853167,
,,1.13,0.862,0.126,,36.8,,,,,,-0.00178971,0.00625979,0.00625979,0.00228946,0.00228946,
,,1.131,0.863,0.125,,51.8,,,,,,0.00356522,0.0047405,0.0047405,0.00176607,0.00176607,
,,1.131,0.864,0.125,,66.9,,,,,,0.00122267,0.00509809,0.00509809,0.00105221,0.00105221,
,,1.131,0.864,0.125,,82,,,,,,0.0161594,0.00520011,0.00520011,0.0018931,0.0018931,
,,1.132,0.864,0.125,,97.1,,,,,,0.00202341,0.0036374,0.0036374,0.00206358,0.00206358,
,,1.132,0.864,0.125,,112.1,,,,,,-0.00292336,0.00347465,0.00347465,0.00187929,0.00187929,
,,1.132,0.864,0.125,,127.2,,,,,,-0.00283117,0.00437972,0.00437972,0.000938122,0.000938122,
,,1.132,0.864,0.125,,157.4,,,,,,-0.00270737,0.00606332,0.00606332,0.0037302,0.0037302,
,,1.132,0.864,0.125,,187.5,,,,,,0.0135793,0.0131094,0.0131094,0.000791803,0.000791803,
,,1.132,0.864,0.125,,202.6,,,,,,0.0113463,0.00975459,0.00975459,0.00363183,0.00363183,
,,1.132,0.864,0.125,,217.7,,,,,,-0.00304482,0.00291243,0.00291243,0.00183581,0.00183581,
,,1.132,0.864,0.125,,232.8,,,,,,-0.00236846,0.00422064,0.00422064,0.00153453,0.00153453,
,,1.132,0.864,0.125,,262.9,,,,,,-0.00402111,0.00397395,0.00397395,0.000726439,0.000726439,
,,1.131,0.864,0.125,,278,,,,,,0.00580723,0.00379575,0.00379575,0.0028311,0.0028311,
,,1.131,0.864,0.125,,293.1,,,,,,-0.00636179,0.00554521,0.00554521,0.00343206,0.00343206,
,,1.131,0.863,0.125,,308.2,,,,,,0.00222117,0.0087031,0.0087031,0.00241565,0.00241565,
,,1.13,0.862,0.126,,323.2,,,,,,0.0201054,0.00940611,0.00940611,0.00326879,0.00326879,
,,1.13,0.86,0.126,,338.1,,,,,,0.0028345,0.00980454,0.00980454,0.0058256,0.0058256,
,,1.13,0.859,0.126,,352.7,,,,,,-0.0192694,0.0104503,0.0104503,0.00472629,0.00472629,
,,1.127,1.398,0.126,,7.3,,,,,,-0.000655396,0.00301079,0.00301079,0.0015955,0.0015955,
,,1.128,1.39,0.126,,21.9,,,,,,0.000549994,0.00391986,0.00391986,0.000873416,0.000873416,
,,1.13,1.382,0.126,,36.8,,,,,,0.0013822,0.00206705,0.00206705,0.000583457,0.000583457,
,,1.131,1.379,0.125,,51.8,,,,,,0.00168306,0.00170455,0.00170455,0.00170663,0.00170663,
,,1.132,1.377,0.125,,66.9,,,,,,0.0040289,0.00140921,0.00140921,0.00100013,0.00100013,
,,1.132,1.376,0.125,,82,,,,,,0.00464628,0.00338381,0.00338381,0.000431469,0.000431469,
,,1.133,1.377,0.125,,97.1,,,,,,0.00265637,0.00266922,0.00266922,0.000557305,0.000557305,
,,1.132,1.377,0.125,,157.3,,,,,,-0.00719878,0.0153494,0.0153494,0.0018957,0.0018957,
,,1.133,1.377,0.125,,172.5,,,,,,0.00272545,0.00245686,0.00245686,0.000955398,0.000955398,
,,1.133,1.377,0.125,,262.9,,,,,,-0.00487677,0.00690905,0.00690905,0.0012457,0.0012457,
,,1.132,1.376,0.125,,278,,,,,,0.00213612,0.0017592,0.0017592,0.00109966,0.00109966,
,,1.132,1.377,0.125,,293.1,,,,,,0.000271219,0.00104876,0.00104876,0.000654636,0.000654636,
,,1.131,1.379,0.125,,308.2,,,,,,0.00460143,0.00235073,0.00235073,0.000600884,0.000600884,
,,1.13,1.382,0.126,,323.2,,,,,,-0.00145227,0.00190371,0.00190371,0.00126383,0.00126383,
,,1.128,1.39,0.126,,338.1,,,,,,-0.00582061,0.00251398,0.00251398,0.000706879,0.000706879,
,,1.127,1.398,0.126,,352.7,,,,,,0.00439042,0.0024359,0.0024359,0.000622474,0.000622474,
,,1.302,0.108,0.155,,37.7,,,,,,1.82401,0.454476,0.454476,0.200304,0.200304,
,,1.298,0.109,0.154,,52,,,,,,0.77345,0.200291,0.200291,0.087418,0.087418,
,,1.299,0.109,0.154,,67,,,,,,0.77538,0.130935,0.130935,0.13574,0.13574,
,,1.3,0.108,0.154,,82.1,,,,,,0.388516,0.0889272,0.0889272,0.0429126,0.0429126,
,,1.3,0.108,0.154,,97.1,,,,,,0.273532,0.0813969,0.0813969,0.0474493,0.0474493,
,,1.301,0.108,0.154,,112.2,,,,,,0.26085,0.0863409,0.0863409,0.0267332,0.0267332,
,,1.301,0.108,0.154,,127.3,,,,,,0.392904,0.107241,0.107241,0.048967,0.048967,
,,1.301,0.108,0.154,,142.3,,,,,,-0.064331,0.0767201,0.0767201,0.0406977,0.0406977,
,,1.301,0.108,0.154,,157.4,,,,,,0.0478913,0.0938526,0.0938526,0.0213124,0.0213124,
,,1.301,0.108,0.154,,172.5,,,,,,0.246483,0.0986352,0.0986352,0.0874582,0.0874582,
,,1.301,0.108,0.154,,202.6,,,,,,0.0417946,0.0786901,0.0786901,0.0216014,0.0216014,
,,1.301,0.108,0.154,,217.7,,,,,,-0.222367,0.104959,0.104959,0.087736,0.087736,
,,1.301,0.108,0.154,,232.7,,,,,,-0.259336,0.116016,0.116016,0.0314482,0.0314482,
,,1.301,0.108,0.154,,247.8,,,,,,-0.350236,0.107365,0.107365,0.109724,0.109724,
,,1.3,0.108,0.154,,262.9,,,,,,-0.31703,0.10862,0.10862,0.0466129,0.0466129,
,,1.3,0.108,0.154,,277.9,,,,,,-0.620965,0.100986,0.100986,0.0444205,0.0444205,
,,1.299,0.109,0.154,,293,,,,,,-0.580287,0.160527,0.160527,0.12341,0.12341,
,,1.298,0.109,0.154,,308,,,,,,-0.592294,0.173449,0.173449,0.0873808,0.0873808,
,,1.302,0.108,0.155,,322.3,,,,,,-1.10887,0.289314,0.289314,0.127109,0.127109,
,,1.299,0.153,0.154,,51.9,,,,,,0.664891,0.10125,0.10125,0.0520776,0.0520776,
,,1.3,0.153,0.154,,67,,,,,,0.300428,0.104481,0.104481,0.0874427,0.0874427,
,,1.301,0.153,0.154,,82,,,,,,0.438559,0.0723982,0.0723982,0.0652532,0.0652532,
,,1.301,0.153,0.154,,97.1,,,,,,0.276363,0.0595154,0.0595154,0.0292969,0.0292969,
,,1.301,0.153,0.154,,112.2,,,,,,0.0894537,0.041964,0.041964,0.0195398,0.0195398,
,,1.301,0.153,0.154,,127.3,,,,,,0.188845,0.0517581,0.0517581,0.0194394,0.0194394,
,,1.301,0.152,0.154,,142.3,,,,,,0.146145,0.067166,0.067166,0.0296389,0.0296389,
,,1.302,0.152,0.154,,157.4,,,,,,0.0484249,0.0403656,0.0403656,0.00965821,0.00965821,
,,1.302,0.152,0.154,,172.5,,,,,,-0.0310734,0.0329337,0.0329337,0.015341,0.015341,
,,1.302,0.152,0.154,,187.5,,,,,,-0.0856051,0.0569727,0.0569727,0.0239358,0.0239358,
,,1.302,0.152,0.154,,202.6,,,,,,0.0222895,0.0353789,0.0353789,0.0390111,0.0390111,
,,1.301,0.152,0.154,,217.7,,,,,,-0.0393734,0.0461156,0.0461156,0.0199322,0.0199322,
,,1.301,0.153,0.154,,232.7,,,,,,0.00932768,0.0681245,0.0681245,0.0236555,0.0236555,
,,1.301,0.153,0.154,,247.8,,,,,,-0.246022,0.0690145,0.0690145,0.0684403,0.0684403,
,,1.301,0.153,0.154,,262.9,,,,,,-0.252096,0.0473804,0.0473804,0.0295775,0.0295775,
,,1.301,0.153,0.154,,278,,,,,,-0.25048,0.0583915,0.0583915,0.0249648,0.0249648,
,,1.3,0.153,0.154,,293,,,,,,-0.554311,0.0884336,0.0884336,0.0779251,0.0779251,
,,1.299,0.153,0.154,,308.1,,,,,,-0.385319,0.127082,0.127082,0.0467131,0.0467131,
,,1.3,0.203,0.154,,51.8,,,,,,0.511744,0.0716458,0.0716458,0.0603414,0.0603414,
,,1.301,0.203,0.154,,66.9,,,,,,-0.00699937,0.0633443,0.0633443,0.0149,0.0149,
,,1.301,0.203,0.154,,82,,,,,,0.200708,0.0482019,0.0482019,0.0294249,0.0294249,
,,1.301,0.203,0.154,,97.1,,,,,,0.142277,0.0403188,0.0403188,0.0161725,0.0161725,
,,1.302,0.203,0.154,,112.2,,,,,,0.0231158,0.0297128,0.0297128,0.00808186,0.00808186,
,,1.302,0.203,0.154,,127.2,,,,,,0.0740638,0.0360767,0.0360767,0.011048,0.011048,
,,1.302,0.203,0.154,,142.3,,,,,,0.149571,0.0577193,0.0577193,0.0511911,0.0511911,
,,1.302,0.203,0.154,,157.4,,,,,,0.0242862,0.046413,0.046413,0.0212111,0.0212111,
,,1.302,0.203,0.154,,172.5,,,,,,0.117407,0.0371257,0.0371257,0.0206821,0.0206821,
,,1.302,0.203,0.154,,187.5,,,,,,0.0403757,0.0255975,0.0255975,0.0205255,0.0205255,
,,1.302,0.203,0.154,,202.6,,,,,,-0.0972661,0.0261839,0.0261839,0.0164677,0.0164677,
,,1.302,0.203,0.154,,217.7,,,,,,-0.0094431,0.029901,0.029901,0.0153346,0.0153346,
,,1.302,0.203,0.154,,232.8,,,,,,0.0115991,0.0312419,0.0312419,0.0112684,0.0112684,
,,1.302,0.203,0.154,,247.8,,,,,,-0.151287,0.0473449,0.0473449,0.0185957,0.0185957,
,,1.301,0.203,0.154,,262.9,,,,,,-0.127849,0.0399244,0.0399244,0.0145114,0.0145114,
,,1.301,0.203,0.154,,278,,,,,,-0.198974,0.0440443,0.0440443,0.0166156,0.0166156,
,,1.301,0.203,0.154,,293.1,,,,,,-0.227913,0.058869,0.058869,0.0186086,0.0186086,
,,1.3,0.203,0.154,,308.2,,,,,,-0.134435,0.0912292,0.0912292,0.0539301,0.0539301,
,,1.301,0.262,0.154,,51.7,,,,,,0.230324,0.0523522,0.0523522,0.0187013,0.0187013,
,,1.301,0.262,0.154,,66.9,,,,,,0.256711,0.0475978,0.0475978,0.0497735,0.0497735,
,,1.302,0.262,0.154,,82,,,,,,0.125288,0.0389816,0.0389816,0.0197991,0.0197991,
,,1.302,0.262,0.154,,97.1,,,,,,0.0626308,0.0222269,0.0222269,0.0116542,0.0116542,
,,1.302,0.262,0.154,,112.2,,,,,,0.00352779,0.0271128,0.0271128,0.0039531,0.0039531,
,,1.302,0.261,0.154,,127.2,,,,,,0.0469414,0.0230144,0.0230144,0.0253585,0.0253585,
,,1.302,0.261,0.154,,142.3,,,,,,-0.0244529,0.0289775,0.0289775,0.0262883,0.0262883,
,,1.302,0.261,0.154,,157.4,,,,,,0.037115,0.0174066,0.0174066,0.00561667,0.00561667,
,,1.302,0.261,0.154,,187.5,,,,,,0.0168927,0.0312004,0.0312004,0.0200322,0.0200322,
,,1.302,0.261,0.154,,202.6,,,,,,-0.0447081,0.0204096,0.0204096,0.00550936,0.00550936,
,,1.302,0.261,0.154,,217.7,,,,,,-0.101502,0.0269852,0.0269852,0.0162832,0.0162832,
,,1.302,0.261,0.154,,232.8,,,,,,-0.0575726,0.0189262,0.0189262,0.0127453,0.0127453,
,,1.302,0.262,0.154,,247.8,,,,,,-0.0504247,0.0319038,0.0319038,0.0402003,0.0402003,
,,1.302,0.262,0.154,,262.9,,,,,,-0.0873637,0.0263976,0.0263976,0.00617857,0.00617857,
,,1.302,0.262,0.154,,278,,,,,,-0.097565,0.0266398,0.0266398,0.015381,0.015381,
,,1.301,0.262,0.154,,293.1,,,,,,-0.250972,0.0556518,0.0556518,0.0267225,0.0267225,
,,1.301,0.262,0.154,,308.3,,,,,,-0.129129,0.0709647,0.0709647,0.0465774,0.0465774,
,,1.301,0.341,0.154,,51.7,,,,,,0.140183,0.0385869,0.0385869,0.00952981,0.00952981,
,,1.302,0.34,0.154,,66.8,,,,,,0.102418,0.0458787,0.0458787,0.0110726,0.0110726,
,,1.302,0.34,0.154,,82,,,,,,0.0328911,0.0277249,0.0277249,0.0193228,0.0193228,
,,1.302,0.34,0.154,,97.1,,,,,,0.0829784,0.0239842,0.0239842,0.00673706,0.00673706,
,,1.302,0.34,0.154,,112.1,,,,,,0.0435536,0.0183085,0.0183085,0.00854086,0.00854086,
,,1.302,0.34,0.154,,127.2,,,,,,0.0334077,0.0246888,0.0246888,0.00836988,0.00836988,
,,1.303,0.34,0.154,,157.4,,,,,,0.025774,0.0109886,0.0109886,0.00473175,0.00473175,
,,1.303,0.34,0.154,,172.5,,,,,,-0.0285254,0.0194687,0.0194687,0.00861862,0.00861862,
,,1.303,0.34,0.154,,187.5,,,,,,0.0272563,0.0198705,0.0198705,0.0160764,0.0160764,
,,1.303,0.34,0.154,,202.6,,,,,,0.0106963,0.0166771,0.0166771,0.00564664,0.00564664,
,,1.302,0.34,0.154,,232.8,,,,,,-0.0223834,0.0208246,0.0208246,0.00537094,0.00537094,
,,1.302,0.34,0.154,,247.9,,,,,,-0.0258728,0.0162188,0.0162188,0.0137193,0.0137193,
,,1.302,0.34,0.154,,262.9,,,,,,-0.134633,0.0264034,0.0264034,0.0145463,0.0145463,
,,1.302,0.34,0.154,,278,,,,,,-0.073999,0.0237424,0.0237424,0.00687632,0.00687632,
