bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,BSA_stat_plus,BSA_stat_minus,BSA_sys_plus,BSA_sys_minus,TSA,TSA_stat_plus,TSA_stat_minus,TSA_sys_plus,TSA_sys_minus,cAUT,DSA,DSA_stat_plus,DSA_stat_minus,DSA_sys_plus,DSA_sys_minus,cALT,link
,,2.59,0.16,0.321,,273,,,,,,-0.12,0.15,0.15,0.05,0.05,-0.24,0.17,0.17,0.07,0.07,-0.0078,0.93,0.19,0.19,0.09,0.09,0.0479,
,,2.53,0.16,0.319,,309,,,,,,-0.21,0.07,0.07,0.02,0.02,-0.11,0.08,0.08,0.01,0.01,-0.0045,0.77,0.09,0.09,0.04,0.04,0.0528,
,,2.55,0.16,0.318,,342,,,,,,-0.12,0.06,0.06,0.02,0.02,0.02,0.07,0.07,0.01,0.01,-0.0005,0.7,0.08,0.08,0.05,0.05,0.0534,
,,2.72,0.24,0.338,,19,,,,,,0.08,0.03,0.03,0,0,0.1,0.03,0.03,0.01,0.01,0,0.72,0.04,0.04,0.03,0.03,0.0398,
,,2.68,0.24,0.338,,51,,,,,,0.2,0.03,0.03,0.01,0.01,0.11,0.04,0.04,0.01,0.01,0.005,0.69,0.05,0.05,0.03,0.03,0.0387,
,,2.67,0.24,0.337,,89,,,,,,0.16,0.05,0.05,0.02,0.02,0.15,0.07,0.07,0.02,0.02,0.0223,0.69,0.07,0.07,0.03,0.03,0.0293,
,,2.43,0.25,0.337,,122,,,,,,0.13,0.07,0.07,0.01,0.01,0.19,0.08,0.08,0.01,0.01,0.0373,0.72,0.09,0.09,0.04,0.04,0.0164,
,,2.47,0.25,0.326,,161,,,,,,0.14,0.12,0.12,0.01,0.01,0.25,0.14,0.14,0.03,0.03,0.0214,0.59,0.15,0.15,0.07,0.07,-0.0042,
,,2.55,0.25,0.322,,201,,,,,,-0.07,0.09,0.09,0.03,0.03,-0.25,0.11,0.11,0.06,0.06,-0.0179,0.75,0.12,0.12,0.02,0.02,-0.002,
,,2.55,0.24,0.338,,238,,,,,,-0.2,0.07,0.07,0.02,0.02,-0.18,0.09,0.09,0.01,0.01,-0.0346,0.71,0.09,0.09,0.03,0.03,0.0142,
,,2.73,0.24,0.337,,271,,,,,,-0.26,0.06,0.06,0.03,0.03,-0.28,0.07,0.07,0.02,0.02,-0.0233,0.68,0.07,0.07,0.03,0.03,0.0278,
,,2.69,0.24,0.336,,309,,,,,,-0.26,0.03,0.03,0.02,0.02,-0.16,0.04,0.04,0.01,0.01,-0.0058,0.73,0.05,0.05,0.03,0.03,0.0385,
,,2.68,0.24,0.338,,341,,,,,,-0.04,0.03,0.03,0,0,-0.08,0.03,0.03,0.01,0.01,0.0002,0.59,0.04,0.04,0.03,0.03,0.0395,
,,2.81,0.44,0.356,,20,,,,,,0.09,0.03,0.03,0.01,0.01,0.04,0.03,0.03,0.01,0.01,-0.0055,0.59,0.04,0.04,0.02,0.02,0.0123,
,,2.74,0.46,0.346,,51,,,,,,0.2,0.03,0.03,0.01,0.01,0.13,0.03,0.03,0.01,0.01,0.0049,0.66,0.04,0.04,0.02,0.02,0.0143,
,,2.68,0.45,0.346,,90,,,,,,0.15,0.05,0.05,0.02,0.02,0.18,0.06,0.06,0.02,0.02,0.0358,0.68,0.06,0.06,0.02,0.02,0.0135,
,,2.24,0.47,0.349,,126,,,,,,0.07,0.05,0.05,0.01,0.01,0.19,0.06,0.06,0.03,0.03,0.0636,0.53,0.06,0.06,0.02,0.02,0.0097,
,,2.25,0.49,0.339,,162,,,,,,0.06,0.06,0.06,0.01,0.01,0.25,0.07,0.07,0.03,0.03,0.0325,0.68,0.08,0.08,0.02,0.02,0.0061,
,,2.23,0.49,0.339,,202,,,,,,-0.13,0.06,0.06,0.02,0.02,-0.15,0.07,0.07,0.02,0.02,-0.0296,0.54,0.08,0.08,0.04,0.04,0.0022,
,,2.43,0.47,0.347,,232,,,,,,-0.06,0.06,0.06,0.01,0.01,-0.21,0.08,0.08,0.03,0.03,-0.0567,0.38,0.09,0.09,0.02,0.02,0.0034,
,,2.72,0.47,0.344,,271,,,,,,-0.22,0.05,0.05,0.02,0.02,-0.26,0.06,0.06,0.02,0.02,-0.0362,0.62,0.06,0.06,0.04,0.04,0.0118,
,,2.77,0.45,0.347,,309,,,,,,-0.21,0.03,0.03,0.01,0.01,-0.18,0.04,0.04,0.01,0.01,-0.0058,0.64,0.04,0.04,0.02,0.02,0.0137,
,,2.77,0.45,0.355,,340,,,,,,-0.15,0.02,0.02,0.01,0.01,-0.07,0.03,0.03,0.01,0.01,0.0049,0.59,0.03,0.03,0.02,0.02,0.0129,
,,2.59,1.3,0.352,,20,,,,,,0.02,0.03,0.03,0,0,0.04,0.04,0.04,0.01,0.01,-0.0041,0.36,0.04,0.04,0.03,0.03,-0.0051,
